ID,Name,Current Category,Platform,Confidence,Reason,Description
ot-6696aa17ef25c0746b5c248b,"GPT-Minus1","AI Detection","https://www.gptminus1.com/",high,"strong indicator match","StealthGPT is an undetectable AI tool designed with a focus on privacy. By utilizing advanced mechanisms, it ensures that the output it generates remains anonymous and untraceable to its source. Ideal"
ot-6696aefeef25c0746b5c8a4b,"Free AI Detector","AI Detection","https://contentatscale.ai/ai-content-detector/",high,"strong indicator match","The Content at Scale AI Content Detector is an advanced tool that identifies if the content is written by AI models such as ChatGPT, Gemini, and Claude, or by a human. With a sophisticated tech stack "
ot-6697e585ef25c0746b604d86,"TweetAssist","AI Detection","https://tweetassist.ai/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","TweetAssist.AI is a versatile Chrome extension designed to facilitate seamless tweeting with AI-powered assistance. It provides users with tweet ideas based on chosen topics and tones, helps in crafti"
ot-68c230d5dab00a452eb26b73,"AI Free Tools","AI Detection","https://aifreetools.com",high,"strong indicator match","AiFreeTools.com is a free, web-based hub of AI-powered utilities spanning writing, AI detection, paraphrasing, and broader content creation. With no signup required, users worldwide can instantly acce"
ot-66992da946403d98189ac7a3,"BasedLabs","AI Detection","https://www.basedlabs.ai/?utm_source=opentools.ai&utm_medium=web",high,"strong indicator match","BasedLabs is an innovative platform that facilitates the creation of AI-generated images and videos. It also offers a vibrant community for AI enthusiasts to share their creations, seek advice, and en"
ot-67773c4032d84a75f2be7ae2,"Sonoteller","AI Detection","https://sonoteller.ai/",high,"strong indicator match","Sonoteller.ai is a cutting-edge AI-driven tool designed to offer in-depth analysis of music and lyrics, enabling users to better comprehend and manage their music collections. It goes beyond basic gen"
ot-66973453ef25c0746b5e4221,"Deepfake Detector","AI Detection","https://deepfakedetector.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing",high,"strong indicator match","Deepfake Detector offers an AI-powered tool that can determine whether an audio or video file is a deepfake with 92% model accuracy. Users can upload audio and video files of any format to get instant"
ai-detection-sensity-ai-23,"Sensity AI","AI Detection Tool","https://sensity.ai",high,"strong indicator match","Deepfake detection platform for detecting synthetic media. Used by platforms and organizations to verify content authenticity."
ai-detection-deepfake-detection-tools-22,"Deepfake Detection Tools","AI Detection Tool","https://www.deepware.ai",high,"strong indicator match","Collection of tools for detecting deepfake videos and images. Includes various detection algorithms and platforms."
ai-detection-fakecatcher-29,"FakeCatcher","AI Detection Tool","https://www.intel.com/content/www/us/en/research/ai-research/fakecatcher.html",high,"strong indicator match","Intel's deepfake detection technology. Uses blood flow analysis to detect synthetic videos."
